threads,memory,Type,Time,Language,speedup
1,16800,real,1.64,cpp,0.993224932249323
1,16808,real,1.66,cpp,0.981258366800535
1,16804,real,1.53,cpp,1.06463326071169
1,16724,real,1.59,cpp,1.02445842068484
1,16812,real,1.64,cpp,0.993224932249323
1,16720,real,1.66,cpp,0.981258366800535
1,16828,real,1.64,cpp,0.993224932249323
1,16744,real,1.65,cpp,0.987205387205387
1,16876,real,1.65,cpp,0.987205387205387
2,16820,real,0.97,cpp,1.67926689576174
2,16816,real,0.96,cpp,1.69675925925926
2,16892,real,0.95,cpp,1.71461988304094
2,16856,real,0.96,cpp,1.69675925925926
2,16748,real,0.96,cpp,1.69675925925926
2,16800,real,0.96,cpp,1.69675925925926
2,16780,real,0.95,cpp,1.71461988304094
2,16840,real,0.96,cpp,1.69675925925926
2,16784,real,1.02,cpp,1.59694989106754
4,16800,real,0.56,cpp,2.90873015873016
4,16852,real,0.57,cpp,2.85769980506823
4,16748,real,0.55,cpp,2.96161616161616
4,16820,real,0.57,cpp,2.85769980506823
4,16700,real,0.55,cpp,2.96161616161616
4,16880,real,0.55,cpp,2.96161616161616
4,16800,real,0.56,cpp,2.90873015873016
4,16800,real,0.57,cpp,2.85769980506823
4,16832,real,0.53,cpp,3.07337526205451
5,17056,real,0.48,cpp,3.39351851851852
5,17020,real,0.47,cpp,3.46572104018913
5,16948,real,0.48,cpp,3.39351851851852
5,17020,real,0.44,cpp,3.7020202020202
5,17024,real,0.46,cpp,3.54106280193237
5,17080,real,0.44,cpp,3.7020202020202
5,16996,real,0.45,cpp,3.61975308641975
5,16948,real,0.48,cpp,3.39351851851852
5,17108,real,0.51,cpp,3.19389978213508
8,16996,real,0.27,cpp,6.03292181069959
8,17152,real,0.3,cpp,5.42962962962963
8,17080,real,0.27,cpp,6.03292181069959
8,16948,real,0.27,cpp,6.03292181069959
8,17016,real,0.3,cpp,5.42962962962963
8,17112,real,0.3,cpp,5.42962962962963
8,17096,real,0.27,cpp,6.03292181069959
8,17036,real,0.28,cpp,5.81746031746032
8,17048,real,0.27,cpp,6.03292181069959
10,17092,real,0.24,cpp,6.78703703703704
10,17096,real,0.22,cpp,7.4040404040404
10,17032,real,0.2,cpp,8.14444444444444
10,16964,real,0.25,cpp,6.51555555555556
10,17112,real,0.25,cpp,6.51555555555556
10,17136,real,0.31,cpp,5.25448028673835
10,17076,real,0.28,cpp,5.81746031746032
10,17140,real,0.26,cpp,6.26495726495726
10,17148,real,0.29,cpp,5.61685823754789
