threads,memory,Type,Time,Language,speedup
1,143488,real,34.85,cpp,1.00076518412243
1,143540,real,35.07,cpp,0.994487216044102
1,143500,real,34.96,cpp,0.997616323417239
1,143464,real,34.94,cpp,0.998187368822744
1,143544,real,34.46,cpp,1.01209131360031
1,143480,real,34.95,cpp,0.997901764425369
1,143496,real,35.19,cpp,0.991095955290329
1,143460,real,34.89,cpp,0.999617846565396
1,143572,real,34.58,cpp,1.00857914015809
2,143528,real,20.23,cpp,1.72400724995881
2,143492,real,20.56,cpp,1.69633592736706
2,143440,real,20.46,cpp,1.70462691430433
2,143456,real,20.33,cpp,1.715527135596
2,143496,real,20.69,cpp,1.68567746093121
2,143556,real,20.14,cpp,1.73171135385634
2,143440,real,20.33,cpp,1.715527135596
2,143580,real,20.34,cpp,1.71468371025893
2,143492,real,20.16,cpp,1.72999338624339
4,143596,real,10.65,cpp,3.27480438184664
4,143520,real,10.7,cpp,3.2595015576324
4,143588,real,10.4,cpp,3.35352564102564
4,143588,real,10.35,cpp,3.36972624798712
4,143544,real,10.26,cpp,3.39928525016244
4,143388,real,10.03,cpp,3.47723496178132
4,143588,real,10.43,cpp,3.34387983381272
4,143484,real,10.67,cpp,3.26866604186192
4,143588,real,10.33,cpp,3.37625040335592
5,143664,real,8.54,cpp,4.08391881342701
5,143564,real,8.62,cpp,4.04601701469451
5,143512,real,8.35,cpp,4.17684630738523
5,143464,real,8.39,cpp,4.15693285657529
5,143620,real,8.27,cpp,4.21725110842402
5,143600,real,8.38,cpp,4.16189339697693
5,143664,real,8.24,cpp,4.23260517799353
5,143636,real,8.72,cpp,3.99961773700306
5,143532,real,8.53,cpp,4.08870652598671
8,143644,real,5.69,cpp,6.1294669009959
8,143684,real,5.56,cpp,6.27278177458034
8,143720,real,5.32,cpp,6.55576441102757
8,143648,real,5.57,cpp,6.26152004787552
8,143664,real,5.53,cpp,6.30681133212779
8,143580,real,5.47,cpp,6.37599024984765
8,143692,real,5.6,cpp,6.22797619047619
8,143684,real,5.49,cpp,6.35276259866424
8,143512,real,5.53,cpp,6.30681133212779
10,143632,real,4.64,cpp,7.51652298850575
10,143724,real,4.46,cpp,7.81988041853513
10,143652,real,4.52,cpp,7.71607669616519
10,143688,real,4.54,cpp,7.68208516886931
10,143612,real,4.44,cpp,7.8551051051051
10,143724,real,4.48,cpp,7.78497023809524
10,143548,real,4.45,cpp,7.8374531835206
10,143632,real,4.47,cpp,7.80238627889635
10,143700,real,4.59,cpp,7.59840232389252
16,143716,real,3.08,cpp,11.3235930735931
16,143828,real,3.03,cpp,11.5104510451045
16,143824,real,3.05,cpp,11.4349726775956
16,143784,real,3.02,cpp,11.5485651214128
16,143824,real,3.04,cpp,11.4725877192982
16,143780,real,2.94,cpp,11.8628117913832
16,143780,real,2.99,cpp,11.6644370122631
16,143648,real,3,cpp,11.6255555555556
16,143824,real,2.99,cpp,11.6644370122631
20,143872,real,3.42,cpp,10.1978557504873
20,143892,real,3.21,cpp,10.865005192108
20,143848,real,3.23,cpp,10.7977296181631
20,143868,real,3.46,cpp,10.0799614643545
20,143840,real,3.19,cpp,10.9331243469175
20,143836,real,3.4,cpp,10.2578431372549
20,143884,real,3.39,cpp,10.2881022615536
20,143768,real,3.19,cpp,10.9331243469175
20,143868,real,3.04,cpp,11.4725877192982
25,143904,real,3.02,cpp,11.5485651214128
25,143992,real,3.1,cpp,11.2505376344086
25,143920,real,3.06,cpp,11.3976034858388
25,143940,real,3.06,cpp,11.3976034858388
25,143936,real,3.08,cpp,11.3235930735931
25,143792,real,3.21,cpp,10.865005192108
25,144012,real,3.23,cpp,10.7977296181631
25,143904,real,3.08,cpp,11.3235930735931
25,143940,real,3.19,cpp,10.9331243469175
32,143864,real,3.07,cpp,11.3604777415852
32,144020,real,3.06,cpp,11.3976034858388
32,144032,real,3.14,cpp,11.1072186836518
32,144076,real,2.97,cpp,11.7429854096521
32,144088,real,2.95,cpp,11.8225988700565
32,144064,real,2.95,cpp,11.8225988700565
32,144004,real,3.09,cpp,11.2869471413161
32,144052,real,2.97,cpp,11.7429854096521
32,143940,real,2.91,cpp,11.9851088201604
40,144120,real,2.93,cpp,11.9032992036405
40,144060,real,2.93,cpp,11.9032992036405
40,144108,real,2.91,cpp,11.9851088201604
40,144136,real,2.87,cpp,12.1521486643438
40,144076,real,2.96,cpp,11.7826576576577
40,144092,real,3,cpp,11.6255555555556
40,144116,real,2.94,cpp,11.8628117913832
40,144100,real,2.95,cpp,11.8225988700565
40,144128,real,2.98,cpp,11.7035794183445
50,144236,real,2.87,cpp,12.1521486643438
50,144168,real,2.97,cpp,11.7429854096521
50,144248,real,2.95,cpp,11.8225988700565
50,144132,real,2.81,cpp,12.41162514828
50,144136,real,2.84,cpp,12.2805164319249
50,144200,real,2.91,cpp,11.9851088201604
50,144224,real,2.83,cpp,12.3239104829211
50,144308,real,2.89,cpp,12.0680507497116
50,144220,real,2.91,cpp,11.9851088201604
80,144712,real,2.91,cpp,11.9851088201604
80,144800,real,2.9,cpp,12.0264367816092
80,144668,real,2.79,cpp,12.5005973715651
80,144640,real,2.78,cpp,12.5455635491607
80,144652,real,2.81,cpp,12.41162514828
80,144576,real,2.84,cpp,12.2805164319249
80,144768,real,2.72,cpp,12.8223039215686
80,144636,real,2.73,cpp,12.7753357753358
80,144640,real,2.75,cpp,12.6824242424242
100,144916,real,2.76,cpp,12.6364734299517
100,144992,real,2.81,cpp,12.41162514828
100,145032,real,2.74,cpp,12.7287104622871
100,145004,real,2.78,cpp,12.5455635491607
100,145128,real,2.76,cpp,12.6364734299517
100,145004,real,2.81,cpp,12.41162514828
100,145040,real,2.83,cpp,12.3239104829211
100,145068,real,2.73,cpp,12.7753357753358
100,144848,real,2.76,cpp,12.6364734299517
125,145384,real,2.75,cpp,12.6824242424242
125,145028,real,2.72,cpp,12.8223039215686
125,145228,real,2.82,cpp,12.3676122931442
125,145260,real,2.77,cpp,12.5908543922984
125,145292,real,2.8,cpp,12.4559523809524
125,145332,real,2.79,cpp,12.5005973715651
125,145160,real,2.8,cpp,12.4559523809524
125,145392,real,2.82,cpp,12.3676122931442
125,145096,real,2.7,cpp,12.9172839506173
200,146480,real,2.71,cpp,12.869618696187
200,146288,real,2.78,cpp,12.5455635491607
200,145972,real,2.78,cpp,12.5455635491607
200,145816,real,2.79,cpp,12.5005973715651
200,146128,real,2.78,cpp,12.5455635491607
200,145956,real,2.73,cpp,12.7753357753358
200,146292,real,2.79,cpp,12.5005973715651
200,145988,real,2.79,cpp,12.5005973715651
200,146424,real,2.71,cpp,12.869618696187
250,146640,real,2.74,cpp,12.7287104622871
250,146752,real,2.74,cpp,12.7287104622871
250,146844,real,2.77,cpp,12.5908543922984
250,147144,real,2.73,cpp,12.7753357753358
250,146580,real,2.79,cpp,12.5005973715651
250,146660,real,2.76,cpp,12.6364734299517
250,146592,real,2.78,cpp,12.5455635491607
250,146664,real,2.84,cpp,12.2805164319249
250,146628,real,2.73,cpp,12.7753357753358
400,148400,real,2.77,cpp,12.5908543922984
400,147992,real,2.76,cpp,12.6364734299517
400,148660,real,2.8,cpp,12.4559523809524
400,148412,real,2.78,cpp,12.5455635491607
400,148600,real,2.72,cpp,12.8223039215686
400,147944,real,2.77,cpp,12.5908543922984
400,147740,real,2.76,cpp,12.6364734299517
400,148256,real,2.76,cpp,12.6364734299517
400,148424,real,2.7,cpp,12.9172839506173
500,149576,real,2.82,cpp,12.3676122931442
500,149160,real,2.8,cpp,12.4559523809524
500,150312,real,2.76,cpp,12.6364734299517
500,150144,real,2.78,cpp,12.5455635491607
500,150184,real,2.76,cpp,12.6364734299517
500,148616,real,2.75,cpp,12.6824242424242
500,149752,real,2.72,cpp,12.8223039215686
500,149668,real,2.79,cpp,12.5005973715651
500,149208,real,2.85,cpp,12.2374269005848
1,33080,real,6.92,c,1.03564547206166
1,33064,real,7.38,c,0.971093044263776
1,33148,real,7.05,c,1.01654846335697
1,33012,real,7.42,c,0.96585804132974
1,33076,real,7,c,1.02380952380952
1,33092,real,6.99,c,1.02527420123987
1,33016,real,7.35,c,0.975056689342404
1,33064,real,7.39,c,0.96977898060442
1,33144,real,7,c,1.02380952380952
1,33016,real,7.36,c,0.973731884057971
2,33164,real,4.36,c,1.64373088685015
2,33156,real,4.24,c,1.69025157232704
2,33080,real,4.46,c,1.60687593423019
2,33148,real,4.25,c,1.68627450980392
2,33076,real,4.33,c,1.65511932255581
2,33104,real,4.21,c,1.70229612034838
2,33148,real,4.29,c,1.67055167055167
2,33024,real,4.41,c,1.62509448223734
2,33024,real,4.19,c,1.71042163882259
2,33156,real,4.21,c,1.70229612034838
4,33088,real,3.82,c,1.8760907504363
4,33036,real,3.71,c,1.93171608265948
4,33128,real,3.69,c,1.94218608852755
4,33100,real,3.75,c,1.91111111111111
4,33152,real,3.74,c,1.91622103386809
4,33140,real,3.76,c,1.90602836879433
4,33084,real,3.76,c,1.90602836879433
4,33168,real,3.9,c,1.83760683760684
4,33124,real,3.73,c,1.92135835567471
4,33120,real,3.76,c,1.90602836879433
5,33124,real,3.74,c,1.91622103386809
5,33104,real,3.67,c,1.952770208901
5,33124,real,3.63,c,1.9742883379247
5,33104,real,3.66,c,1.95810564663024
5,33084,real,3.61,c,1.98522622345337
5,33100,real,3.52,c,2.03598484848485
5,33036,real,3.52,c,2.03598484848485
5,33124,real,3.54,c,2.02448210922787
5,33120,real,3.63,c,1.9742883379247
5,33172,real,3.61,c,1.98522622345337
8,33148,real,3.59,c,1.99628597957289
8,33104,real,3.39,c,2.11406096361849
8,33040,real,3.39,c,2.11406096361849
8,33148,real,3.5,c,2.04761904761905
8,33084,real,3.43,c,2.08940719144801
8,33140,real,3.43,c,2.08940719144801
8,33148,real,3.38,c,2.12031558185404
8,33124,real,3.42,c,2.09551656920078
8,33120,real,3.45,c,2.07729468599034
8,33136,real,3.46,c,2.07129094412331
10,33092,real,3.35,c,2.13930348258706
10,33172,real,3.32,c,2.15863453815261
10,33092,real,3.43,c,2.08940719144801
10,33084,real,3.35,c,2.13930348258706
10,33172,real,3.38,c,2.12031558185404
10,33104,real,3.41,c,2.10166177908113
10,33120,real,3.34,c,2.14570858283433
10,33180,real,3.44,c,2.08333333333333
10,33168,real,3.43,c,2.08940719144801
10,33136,real,3.51,c,2.04178537511871
16,33088,real,2.55,c,2.81045751633987
16,33128,real,2.53,c,2.83267457180501
16,33172,real,2.48,c,2.88978494623656
16,33108,real,2.52,c,2.84391534391534
16,33096,real,2.47,c,2.90148448043185
16,33092,real,2.59,c,2.76705276705277
16,33144,real,2.55,c,2.81045751633987
16,33176,real,2.53,c,2.83267457180501
16,33096,real,2.42,c,2.96143250688705
16,33108,real,2.56,c,2.79947916666667
20,33096,real,2.03,c,3.5303776683087
20,33128,real,2.06,c,3.4789644012945
20,33044,real,2.01,c,3.56550580431177
20,33128,real,2,c,3.58333333333333
20,33088,real,2.11,c,3.39652448657188
20,33124,real,1.98,c,3.61952861952862
20,33096,real,2.12,c,3.38050314465409
20,33140,real,2.11,c,3.39652448657188
20,33172,real,2.07,c,3.4621578099839
20,33108,real,2.17,c,3.3026113671275
25,33132,real,2.06,c,3.4789644012945
25,33132,real,2.09,c,3.42902711323764
25,33088,real,2.16,c,3.3179012345679
25,33180,real,1.96,c,3.65646258503401
25,33100,real,2.1,c,3.41269841269841
25,33092,real,2.06,c,3.4789644012945
25,33092,real,2.06,c,3.4789644012945
25,33156,real,2.13,c,3.36463223787167
25,33144,real,2.09,c,3.42902711323764
25,33128,real,2.19,c,3.27245053272451
32,33148,real,1.94,c,3.69415807560137
32,33212,real,1.99,c,3.60134003350084
32,33160,real,1.94,c,3.69415807560137
32,33136,real,1.99,c,3.60134003350084
32,33128,real,1.92,c,3.73263888888889
32,33160,real,1.86,c,3.85304659498208
32,33216,real,2.03,c,3.5303776683087
32,33216,real,2.06,c,3.4789644012945
32,33144,real,1.93,c,3.713298791019
32,33184,real,2.01,c,3.56550580431177
40,33280,real,1.58,c,4.53586497890295
40,33176,real,1.71,c,4.19103313840156
40,33252,real,1.63,c,4.39672801635992
40,33264,real,1.61,c,4.45134575569358
40,33252,real,1.72,c,4.16666666666667
40,33280,real,1.67,c,4.29141716566866
40,33224,real,1.54,c,4.65367965367965
40,33252,real,1.68,c,4.26587301587302
40,33200,real,1.67,c,4.29141716566866
40,33144,real,1.76,c,4.0719696969697
50,33356,real,1.22,c,5.87431693989071
50,33360,real,1.27,c,5.64304461942257
50,33360,real,1.23,c,5.82655826558266
50,33348,real,1.28,c,5.59895833333333
50,33364,real,1.46,c,4.90867579908676
50,33368,real,1.31,c,5.470737913486
50,33292,real,1.31,c,5.470737913486
50,33272,real,1.31,c,5.470737913486
50,33368,real,1.37,c,5.23114355231144
50,33364,real,1.31,c,5.470737913486
80,33604,real,1.19,c,6.02240896358543
80,33512,real,0.95,c,7.54385964912281
80,33520,real,1.11,c,6.45645645645646
80,33476,real,1.09,c,6.57492354740061
80,33596,real,1.05,c,6.82539682539683
80,33472,real,1.2,c,5.97222222222222
80,33472,real,1.04,c,6.89102564102564
80,33584,real,1.11,c,6.45645645645646
80,33616,real,1.12,c,6.39880952380952
80,33596,real,0.91,c,7.87545787545788
100,33780,real,0.9,c,7.96296296296296
100,33780,real,0.77,c,9.30735930735931
100,33696,real,0.96,c,7.46527777777778
100,33680,real,1.13,c,6.34218289085546
100,33752,real,1,c,7.16666666666667
100,33764,real,0.87,c,8.23754789272031
100,33688,real,0.85,c,8.43137254901961
100,33692,real,0.9,c,7.96296296296296
100,33748,real,0.92,c,7.78985507246377
100,33772,real,0.85,c,8.43137254901961
125,33968,real,0.84,c,8.53174603174603
125,33984,real,0.75,c,9.55555555555556
125,33984,real,0.78,c,9.18803418803419
125,33892,real,0.68,c,10.5392156862745
125,33968,real,0.8,c,8.95833333333333
125,33988,real,0.83,c,8.63453815261044
125,33988,real,0.78,c,9.18803418803419
125,33848,real,0.81,c,8.8477366255144
125,33984,real,0.74,c,9.68468468468468
125,33900,real,0.81,c,8.8477366255144
200,34608,real,0.54,c,13.2716049382716
200,34472,real,0.48,c,14.9305555555556
200,34520,real,0.48,c,14.9305555555556
200,34536,real,0.56,c,12.797619047619
