Language,threads,mean
c,1,7.19
c,2,4.29
c,4,3.76
c,5,3.61
c,8,3.44
c,10,3.4
c,16,2.52
c,20,2.07
c,25,2.09
c,32,1.97
c,40,1.66
c,50,1.31
c,80,1.08
c,100,0.92
c,125,0.78
c,200,0.52
c,250,0.44
c,400,0.35
c,500,0.32
c_openmp,1,8.67
c_openmp,2,5.55
c_openmp,4,4.94
c_openmp,5,4.84
c_openmp,8,4.66
c_openmp,10,4.62
c_openmp,16,3.52
c_openmp,20,2.95
c_openmp,25,3.02
c_openmp,32,2.75
c_openmp,40,2.27
c_openmp,50,1.86
c_openmp,80,1.48
c_openmp,100,1.27
c_openmp,125,1.07
c_openmp,200,0.7
c_openmp,250,0.59
c_openmp,400,0.47
c_openmp,500,0.51
clojure,1,127.63
clojure,2,102.01
clojure,4,111.72
clojure,5,108.01
clojure,8,117.64
clojure,10,117.25
clojure,16,124.11
clojure,20,127.6
clojure,25,123.86
clojure,32,128.78
clojure,40,115.29
clojure,50,123.37
clojure,80,118.96
clojure,100,120.27
clojure,125,124.69
clojure,200,123.67
clojure,250,111.64
clojure,400,123.62
clojure,500,119.16
cpp,1,34.88
cpp,2,20.36
cpp,4,10.42
cpp,5,8.45
cpp,8,5.53
cpp,10,4.51
cpp,16,3.02
cpp,20,3.28
cpp,25,3.11
cpp,32,3.01
cpp,40,2.94
cpp,50,2.89
cpp,80,2.8
cpp,100,2.78
cpp,125,2.77
cpp,200,2.76
cpp,250,2.76
cpp,400,2.76
cpp,500,2.78
go,1,16.66
go,2,16.49
go,4,15.73
go,5,15.19
go,8,13.7
go,10,12.87
go,16,11.57
go,20,11.09
go,25,10.75
go,32,10.4
go,40,10.21
go,50,10.12
go,80,9.84
go,100,9.82
go,125,9.75
go,200,9.52
go,250,9.49
go,400,9.42
go,500,9.35
java_new,1,84.62
java_new,2,55.11
java_new,4,27.46
java_new,5,21.14
java_new,8,14.21
java_new,10,11.53
java_new,16,7.79
java_new,20,7.78
java_new,25,7.53
java_new,32,7.39
java_new,40,7.36
java_new,50,7.4
java_new,80,7.19
java_new,100,7.12
java_new,125,7.16
java_new,200,7.72
java_new,250,7.66
java_new,400,9.18
java_new,500,8.49
java_old,1,43.87
java_old,2,19.09
java_old,4,9.68
java_old,5,8.19
java_old,8,5.19
java_old,10,4.32
java_old,16,3
java_old,20,2.95
java_old,25,2.73
java_old,32,2.64
java_old,40,2.49
java_old,50,2.28
java_old,80,1.78
java_old,100,1.58
java_old,125,1.52
java_old,200,1.49
java_old,250,1.49
java_old,400,1.51
java_old,500,1.55
scala,1,44.48
scala,2,19.48
scala,4,9.98
scala,5,8.59
scala,8,5.62
scala,10,4.71
scala,16,3.26
scala,20,3.2
scala,25,3.05
scala,32,2.93
scala,40,2.7
scala,50,2.55
scala,80,1.98
scala,100,1.92
scala,125,1.91
scala,200,2
scala,250,2.94
scala,400,3.51
scala,500,1.77
